Percentage of accounts with balance starting at...,Percentage of accounts with balance starting at....1,Percentage of accounts with balance starting at....2
Percentage # Accounts Balance equals (or greater than),Percentage # Accounts Balance equals (or greater than),Percentage # Accounts Balance equals (or greater than)
0.01 %,662,"5,730,534.747576 XRP"
0.1 %,6623,"369,150.999559 XRP"
0.2 %,13245,"200,086.954537 XRP"
0.5 %,33114,"100,000.001026 XRP"
1 %,66227,"50,626.750974 XRP"
2 %,132455,"25,633.998138 XRP"
3 %,198682,"16,287.588951 XRP"
4 %,264910,"11,029.834165 XRP"
5 %,331137,"8,752.497377 XRP"
10 %,662274,"2,484.043344 XRP"
